Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0973,0.29638065751563747,0.09164502945588461,0.1032642428318583,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.06933598,0.2112008565456797,0.06452077316767296,0.0744819353963051,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.015820980000000002,0.04819149491205058,0.013554622943458484,0.018459184966133097,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.012143039999999997,0.036988306057951136,0.01017598991899964,0.014484762636526826,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.1041,0.30540549643338916,0.09826570516805093,0.11023834474185078,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.6812,0.46603463264854506,0.6719982539989185,0.6902625849915484,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.7442,1.6735131982277403,1.7110975000000002,1.7774,0.0,0.0,1.0,4.0,6.0,0.0,12.0
t_IS_event,1.2429169199999999,1.1925455050571205,1.22004246,1.2661476799999998,0.0,0.0,0.7126,2.8504,4.2756,0.0,8.5512
t_HS_event,0.28360692,0.27211324603183645,0.27846876,0.28890768,0.0,0.0,0.1626,0.6504,0.9756,0.0,1.9512
t_US_event,0.21767615999999998,0.20885444713881918,0.21350784000000003,0.22174495200000002,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.4975999999999998
t_chd_event,0.6798,0.7886280196742314,0.6647,0.6954,0.0,0.0,1.0,2.0,3.0,0.0,5.0
Cost,12405.586117736972,9682.14626888344,12215.819537936368,12595.352697537575,252.16508000000002,1007.0301298918441,10220.099754118066,26576.4366376159,33489.69606502866,129.26508,56326.88169974458
QALY,8.434263442793952,4.7137963330966475,8.341874732360688,8.526652153227216,0.8799999999999999,1.7343689320388347,8.349326320675045,14.775169429401103,16.88119627824203,0.74,17.7557062041908
t_stroke_death_annual,0.025231359862580505,0.11520920742203537,0.022335102962084016,0.028492237531599216,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.017979867038074873,0.08209808120894238,0.01555452859529155,0.02077539537223958,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.00410261911365559,0.01873301712682446,0.0030260792022514197,0.0055600065976260556,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.003148873710850047,0.014378109086271846,0.0022253228040790595,0.004454004663548765,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.02783488545084154,0.12167086712898414,0.02478758808452933,0.03124480408650816,0.0,0.0,0.0,0.041666666666666664,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.1132846298318047,0.19242998662886873,0.10722062780804699,0.11964562799968277,0.0,0.0,0.05263157894736842,0.25,1.0,0.0,1.0
t_stroke_event_annual,0.1410421838149013,0.1579907260592352,0.13793107084066417,0.14416451816974657,0.0,0.0,0.1111111111111111,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.10050666018649868,0.11258419138981121,0.09830675755746708,0.10273853317364763,0.0,0.0,0.07917777777777778,0.23753333333333332,0.3563,0.0,0.7126
t_HS_event_annual,0.02293345908830295,0.025689292057232162,0.022425869216767848,0.023440870438310973,0.0,0.0,0.018066666666666665,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017602064540099684,0.019717242612193178,0.01720853484310805,0.01798930659860625,0.0,0.0,0.013866666666666666,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06226021680353189,0.12613370052092157,0.059820517260701096,0.06479810613185841,0.0,0.0,0.03333333333333333,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,969.2880027500182,773.7151221195758,954.1234650135344,984.452540486502,141.0891907642897,231.891015028088,851.9082385650095,1685.0974975056267,2918.906275790626,108.92078481144853,9395.604314642613
t_QALY_annual,0.6807533225601773,0.1320974990221989,0.678164259154864,0.6833423859654906,0.4500715668286913,0.49390282386138296,0.6934420417996963,0.8483338046312877,0.8799999999999999,0.42610328906630196,0.8799999999999999
t_stroke_deathage,69.46968139773895,12.141583970723984,68.70678244512364,70.23258035035427,43.0,52.0,71.0,84.0,90.0,36.0,98.0
t_chd_deathage,71.20845341018251,11.468592798544938,70.51177418637275,71.90513263399228,47.0,56.0,72.0,86.0,91.0,36.0,98.0
t_noncvd_deathage,81.96961244862008,8.788988767851775,81.7608993619997,82.17832553524046,62.0,71.0,83.0,92.0,96.0,38.0,100.0
t_deathage,79.3223430772717,10.73466722044652,79.09839119594704,79.54629495859635,53.0,65.0,81.0,92.0,96.0,36.0,100.0
t_timeperiod,14.0609,9.630205879238764,13.872151433129861,14.249648566870139,1.0,2.0,12.0,30.0,30.0,1.0,30.0
