Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.1007,0.3009461195242454,0.09495432940119516,0.10675233169762716,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_IS_death,0.07175882000000001,0.21445420477296467,0.06686312774075166,0.07698340009000161,0.0,0.0,0.0,0.7126,0.7126,0.0,0.7126
t_HS_death,0.016373819999999997,0.04893383903464324,0.014065727683206568,0.019053335647066516,0.0,0.0,0.0,0.1626,0.1626,0.0,0.1626
t_US_death,0.01256736,0.03755807571662511,0.010563590281953797,0.014945476397195385,0.0,0.0,0.0,0.1248,0.1248,0.0,0.1248
t_chd_death,0.1054,0.3070834903198443,0.09953234898737838,0.11157070252675956,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.7543,0.43052299009982115,0.7457657306055,0.7626389678231739,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.8015,1.7501440084761255,1.7676,1.8356,0.0,0.0,1.0,4.0,6.0,0.0,14.0
t_IS_event,1.2837489,1.2471526204400454,1.2598055400000001,1.3086898999999999,0.0,0.0,0.7126,2.8504,4.2756,0.0,9.9764
t_HS_event,0.29292390000000007,0.28457341577823303,0.28729794000000003,0.29843603999999996,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.2763999999999998
t_US_event,0.2248272,0.21841797225782836,0.22054656,0.22902048,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.7471999999999999
t_chd_event,0.7022,0.8223033371437558,0.6861,0.7181,0.0,0.0,1.0,2.0,3.0,0.0,5.0
Cost,12788.396122047889,10260.597119158512,12587.292113913627,12989.50013018215,252.16508000000002,1007.0301298918441,10287.13666256574,27990.68274867355,35704.25419478063,129.26508,63561.0540916241
QALY,8.624746335072322,5.009707045640976,8.526557881246793,8.72293478889785,0.8799999999999999,1.7343689320388347,8.349326320675045,15.686753167807794,18.05346909466929,0.74,20.92222011242011
t_stroke_death_annual,0.025331221228599928,0.11520009906870646,0.022429020824339434,0.028597965708178952,0.0,0.0,0.0,0.027102102102102378,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.01805102824750031,0.08209159059636292,0.015620623906832588,0.02085156782797247,0.0,0.0,0.0,0.019312957957958152,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.004118856571770349,0.018731536108574063,0.0030398732674069753,0.005578674978385097,0.0,0.0,0.0,0.004406801801801846,0.0542,0.0,0.1626
t_US_death_annual,0.003161336409329271,0.014376972363775747,0.0022356498202975124,0.004468593472976939,0.0,0.0,0.0,0.0033823423423423762,0.0416,0.0,0.1248
t_chd_death_annual,0.027872273418579924,0.12166675452856376,0.02482286365064521,0.03128427574203166,0.0,0.0,0.0,0.041666666666666664,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.11539409062605671,0.19133251939954807,0.10927921445595436,0.12180434288126342,0.0,0.0,0.05263157894736842,0.25,1.0,0.0,1.0
t_stroke_event_annual,0.14044382032607813,0.15785454071644256,0.1374058304812816,0.14363582764133198,0.0,0.0,0.1111111111111111,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.10008026636436329,0.11248714571454194,0.09790004987946407,0.10231471533308527,0.0,0.0,0.07917777777777778,0.23753333333333332,0.3563,0.0,0.7126
t_HS_event_annual,0.02283616518502031,0.02566714832049472,0.022337726566332664,0.023340948579360414,0.0,0.0,0.018066666666666665,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.01752738877669455,0.019700246681412483,0.01714710276546403,0.017920223362517092,0.0,0.0,0.013866666666666666,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06195754328909535,0.12610084549826003,0.059502297379256816,0.06442867559355973,0.0,0.0,0.02702702702702703,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,962.5952845180973,773.8813572795838,947.4274886323477,977.7630804038469,141.0891907642897,232.15508000000003,835.4904225535506,1682.556144273729,2918.906275790626,108.92078481144853,9395.604314642613
t_QALY_annual,0.6756150786219299,0.13962465424759107,0.6728784856851385,0.6783516715587213,0.41343776171348845,0.47455144167879765,0.6934420417996963,0.8483338046312877,0.8799999999999999,0.3782310841627824,0.8799999999999999
t_stroke_deathage,69.80039721946375,12.120947800712118,69.05176254803494,70.54903189089255,43.0,52.0,72.0,85.0,90.0,36.0,98.0
t_chd_deathage,71.35483870967742,11.50099257959247,70.66051322046738,72.04916419888747,47.0,56.0,72.0,86.0,91.0,36.0,99.0
t_noncvd_deathage,82.34058067082063,8.685693332316172,82.14456963273457,82.53659170890668,62.0,71.0,83.0,93.0,97.0,38.0,101.0
t_deathage,79.82007496876301,10.607925031381832,79.60792036659761,80.03222957092841,54.0,66.0,81.0,92.0,96.0,36.0,101.0
t_timeperiod,14.8347,11.101274689871115,14.617119014253666,15.052280985746334,1.0,2.0,12.0,32.0,40.0,1.0,40.0
