Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0846,0.27829945213477414,0.07930393149190801,0.0902150943544501,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.06028596,0.19831618959121297,0.05578762423713995,0.06512199471270727,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.01375596,0.04525149091710792,0.011652596834912057,0.016232757003310352,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.01055808,0.0347317716264159,0.008734358095400794,0.012757691704240853,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0914,0.28819150826239653,0.08590763964037781,0.0972061638281391,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.588,0.4922196948749648,0.5783211549462123,0.5976112613405485,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.4837,1.4614198181182085,1.4558,1.5125,0.0,0.0,1.0,4.0,5.0,0.0,9.0
t_IS_event,1.05728462,1.041407762390993,1.03704678,1.07766498,0.0,0.0,0.7126,2.8504,3.563,0.0,6.4134
t_HS_event,0.24124962,0.23762686242600936,0.2366313735,0.24593249999999997,0.0,0.0,0.1626,0.6504,0.813,0.0,1.4634
t_US_event,0.18516576,0.18238519330114858,0.18154656,0.18871008000000003,0.0,0.0,0.1248,0.4992,0.624,0.0,1.1232
t_chd_event,0.5747,0.7044640068546405,0.5608974999999999,0.5884025,0.0,0.0,0.0,1.0,2.0,0.0,5.0
Cost,10391.935210092293,8110.498012320155,10232.972370083982,10550.898050100604,232.15508000000003,734.6753188538034,8777.69615113469,22010.543384961507,28018.81575824175,129.26508,48609.147650841005
QALY,7.349528084609742,3.9040661123422624,7.2730097948752,7.426046374344283,0.8799999999999999,1.7343689320388347,7.60947536692888,12.499399655814791,13.430751178967471,0.74,13.484943213516864
t_stroke_death_annual,0.024185914798565727,0.11381088746592079,0.021352650440331106,0.027384602823725,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.01723488288545794,0.08110163840821812,0.014863220741023876,0.019977307066674957,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.0039326297462467874,0.0185056503019579,0.0028819617909143693,0.005364275825425735,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.0030184021668610028,0.01420359875574613,0.0021174625724284194,0.004301022008941939,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.026746898177931463,0.12004962968605837,0.023761754414646962,0.0300954987812506,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.12742858405182708,0.21508714501960796,0.12103579175774894,0.13410750997927476,0.0,0.0,0.0625,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.14113069464462266,0.16071932437270564,0.13801415565325628,0.1443068437150762,0.0,0.0,0.1,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.10056973300375811,0.11452859054798716,0.09830636053569974,0.10288566043684987,0.0,0.0,0.07126,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.022947850949215642,0.02613296214300303,0.022433069097961205,0.02346112804829747,0.0,0.0,0.01626,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017613110691648906,0.020057771681714614,0.01722626414208918,0.01800090677450176,0.0,0.0,0.01248,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.062284898771678955,0.12589131925117117,0.05984475984238929,0.0647612506464339,0.0,0.0,0.0,0.15,0.3333333333333333,0.0,1.0
t_Cost_annual,970.9253192778605,777.5302410201219,955.6860065849586,986.1646319707623,140.91508000000002,215.80508,861.2815812206564,1712.9752128779269,2907.950092758233,107.9677188481924,9395.604314642613
t_QALY_annual,0.7087610188445762,0.11343197062481833,0.7065377930733757,0.7109842446157767,0.5066322697309638,0.5450173437054527,0.7137546547232991,0.8546177773588463,0.8799999999999999,0.48264583107520165,0.8799999999999999
t_stroke_deathage,68.04609929078015,11.645412136103856,67.26137377798422,68.83082480357608,42.125,52.0,69.0,82.0,88.0,36.0,96.0
t_chd_deathage,68.80087527352298,12.141000719312766,68.0137760608162,69.58797448622975,41.0,52.0,70.0,84.0,88.0,36.0,98.0
t_noncvd_deathage,78.86190476190477,9.186894185602526,78.6270885151072,79.09672100870233,58.0,67.0,80.0,90.0,94.0,38.0,99.0
t_deathage,76.46060209424084,10.810753164369938,76.21818828099855,76.70301590748313,51.0,62.0,78.0,89.0,93.0,36.0,99.0
t_timeperiod,11.3019,6.864070799226421,11.16736668446183,11.436433315538169,1.0,2.0,11.0,20.0,20.0,1.0,20.0
