Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0941,0.291982388803739,0.0885323775448461,0.09997935233246917,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.06705565999999999,0.20806665026155313,0.06231780252872107,0.0721260173135862,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.015300659999999999,0.047476336419483824,0.013074280362189519,0.01789928715146652,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.01174368,0.036439402122707985,0.00981179529238817,0.01405054397031693,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.1001,0.300148294847513,0.09437018178714811,0.10613694010971901,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.7777,0.4158124577258561,0.7694448637740332,0.7857418635308928,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.6582,1.685306140046428,1.6252,1.6917,0.0,0.0,1.0,4.0,6.0,0.0,14.0
t_IS_event,1.1816333199999998,1.2009491553971954,1.1581157384999998,1.20550542,0.0,0.0,0.7126,2.8504,4.2756,0.0,9.9764
t_HS_event,0.26962331999999994,0.27403077837156636,0.26442012000000004,0.27502163999999996,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.2763999999999998
t_US_event,0.20694336000000002,0.21032620627781534,0.20278752,0.21098719200000002,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.7471999999999999
t_chd_event,0.6474,0.7872326298631953,0.6321,0.6626,0.0,0.0,0.0,2.0,3.0,0.0,6.0
Cost,11775.476838853761,9953.488243358104,11580.392054078515,11970.561623629008,232.15508000000003,734.6753188538034,9267.217737374256,26532.08879241682,34762.55409437905,129.26508,66308.97384890221
QALY,8.061071208442735,4.900692660128252,7.965019397311224,8.157123019574247,0.8799999999999999,1.7343689320388347,7.60947536692888,15.216886842682092,17.70692247029816,0.74,20.914397824696728
t_stroke_death_annual,0.02454740905276637,0.11379560043301891,0.02169220162370125,0.027767762522346896,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.01749248369100132,0.08109074486855965,0.015102126804540773,0.020253404777665594,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.003991408711979812,0.018503164630407326,0.0029317334843856936,0.005432016921366316,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.003063516649785243,0.014201690934039312,0.002154705480271697,0.0043539734191712694,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.027093817163539893,0.12003107672056314,0.02408870954335309,0.030462115191110868,0.0,0.0,0.0,0.025,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.13435391053648688,0.21144858156003862,0.127810019072137,0.14117861700603326,0.0,0.0,0.0625,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.13815339820671743,0.15968134526705383,0.13505913156608296,0.14129191292872448,0.0,0.0,0.10526315789473684,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.09844811156210685,0.11378892663730934,0.09620399045546438,0.10066681483813529,0.0,0.0,0.07501052631578947,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.022463742548412255,0.02596418674042447,0.021952811255985135,0.022984962956653074,0.0,0.0,0.01711578947368421,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017241544096198335,0.019928231889329087,0.016850065933411706,0.017624244665205478,0.0,0.0,0.013136842105263157,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06122491745609247,0.12546735070313605,0.05883918809129339,0.06372492158305566,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,950.7942690569704,772.6505235921838,935.6505970682034,965.9379410457374,140.91508000000002,216.33508,826.0470559476959,1691.5947968412418,2907.950092758233,101.09553411869216,9395.604314642613
t_QALY_annual,0.6901606579878771,0.1367916695780591,0.6874795905302961,0.6928417254454581,0.42195884546480966,0.48936526487377985,0.7137546547232991,0.8546177773588463,0.8799999999999999,0.38283271564871296,0.8799999999999999
t_stroke_deathage,68.8374070138151,11.524632420090724,68.1010636762098,69.57375035142039,43.0,53.0,70.0,83.0,88.0,36.0,96.0
t_chd_deathage,69.37362637362638,12.028477199390792,68.62847981237312,70.11877293487964,42.0,53.0,71.0,84.0,89.0,36.0,99.0
t_noncvd_deathage,79.80686640092581,8.944645107409423,79.60807153895345,80.00566126289817,59.0,68.0,81.0,90.0,95.0,38.0,99.0
t_deathage,77.67023356312377,10.490570931547532,77.46167096681948,77.87879615942806,53.0,64.0,79.0,90.0,94.0,36.0,99.0
t_timeperiod,13.5662,10.608056874237933,13.358285905805412,13.774114094194589,1.0,2.0,11.0,30.0,40.0,1.0,40.0
